LOAN_ID,PORTFOLIO_ID,PORTFOLIO_NAME,FRAUD_TYPE,FRAUD_CONFIRMED_DATE,LOAN_STATUS,LOAN_CLOSED_DATE,REPURCHASED_BY_HAPPY_MONEY,CURRENT_INVESTOR
97616,86,GreenState CU,TBD - Needs Business Logic,2025-01-16,Charged Off,,No,Hive (Participation)
97616,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-01-16,Charged Off,,No,Hive (Participation)
97616,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-01-16,Charged Off,,No,Hive (Participation)
97616,86,GreenState CU,TBD - Needs Business Logic,2025-01-16,Charged Off,,No,Hive (Participation)
97616,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-01-16,Charged Off,,No,Hive (Participation)
97616,181,BankruptcyWatch Primary Case Terminated,TBD - Needs Business Logic,2025-01-16,Charged Off,,No,Hive (Participation)
97950,142,Theorem Main (Loan Sale),TBD - Needs Business Logic,2025-01-16,Charged Off,,No,Theorem Main (Loan Sale)
97950,142,Theorem Main (Loan Sale),TBD - Needs Business Logic,2025-01-16,Charged Off,,Yes - Repurchased,Payoff FBO First Technology Credit Union
97950,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-01-16,Charged Off,,No,Theorem Main (Loan Sale)
97950,138,Cross River Bank TM,TBD - Needs Business Logic,2025-01-16,Charged Off,,No,Theorem Main (Loan Sale)
97950,138,Cross River Bank TM,TBD - Needs Business Logic,2025-01-16,Charged Off,,Yes - Repurchased,Payoff FBO First Technology Credit Union
97950,138,Cross River Bank TM,TBD - Needs Business Logic,2025-01-16,Charged Off,,No,Theorem Main (Loan Sale)
97950,138,Cross River Bank TM,TBD - Needs Business Logic,2025-01-16,Charged Off,,Yes - Repurchased,Payoff FBO First Technology Credit Union
97950,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-01-16,Charged Off,,Yes - Repurchased,Payoff FBO First Technology Credit Union
97950,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-01-16,Charged Off,,No,Theorem Main (Loan Sale)
97950,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-01-16,Charged Off,,Yes - Repurchased,Payoff FBO First Technology Credit Union
97950,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-01-16,Charged Off,,No,Theorem Main (Loan Sale)
97950,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-01-16,Charged Off,,Yes - Repurchased,Payoff FBO First Technology Credit Union
105428,198,FEB,TBD - Needs Business Logic,2025-01-16,Charged Off,,No,Veridian CU
