Assignment Date,Status,Batch,Product,Original Creditor,Account Public ID,External Account ID,Creditor Recalled?,Has Valid SSN?,Has User Name?,Has Email?,Has Phone?,Has Address?,No Origination Date,Is Deceased?,Is Bankruptcy?,User ID,Account ID,Charge Off Amount ($),Charge Off Date,Last payment Amount ($),Last Payment Date,Face Value ($)
"Aug 5, 2025",Bankrupt,HM_AUG_25_FTFCU_25Q2,Personal Loan,"Happy Money, Originated by First Technology Federal Credit Union",BA-0678363144,PA6D11C7E85B0,False,True,True,True,True,True,False,False,True,"484,668","534,639","17,501.06","Apr 3, 2025",555.35,"Jan 4, 2025","18,514.49"
"Aug 5, 2025",Bankrupt,HM_AUG_25_FTFCU_25Q2,Personal Loan,"Happy Money, Originated by First Technology Federal Credit Union",BA-0679804936,P4144DF4874B2,False,True,True,True,True,True,False,False,True,"484,690","534,661","2,929.84","Apr 11, 2025",55.04,"Jul 28, 2025","3,062.12"
"Aug 5, 2025",Bankrupt,HM_AUG_25_FTFCU_25Q2,Personal Loan,"Happy Money, Originated by First Technology Federal Credit Union",BA-0682360840,PE340BE4D05C5,False,True,True,True,True,True,False,False,True,"484,728","534,700","9,031.49","Apr 14, 2025",491.8,"Sep 16, 2024","9,612.53"
"Aug 5, 2025",Bankrupt,HM_AUG_25_FTFCU_25Q2,Personal Loan,"Happy Money, Originated by First Technology Federal Credit Union",BA-0684851208,P8839A6CBB40B,False,True,True,True,True,True,False,False,True,"484,766","534,738","14,014.09","May 25, 2025",198.72,"Dec 13, 2024","14,952.67"
"Aug 5, 2025",Bankrupt,HM_AUG_25_FTFCU_25Q2,Personal Loan,"Happy Money, Originated by First Technology Federal Credit Union",BA-0686686216,PA117A43538E4,False,True,True,True,True,True,False,False,True,"484,795","534,766","9,331.92","Apr 27, 2025",464.33,"Nov 29, 2024","9,865.29"
"Aug 5, 2025",Bankrupt,HM_AUG_25_FTFCU_25Q2,Personal Loan,"Happy Money, Originated by First Technology Federal Credit Union",BA-0688390152,PD82C52E92B89,False,True,True,True,True,True,False,False,True,"484,819","534,792","17,427.67","Jun 18, 2025",493.81,"Jan 18, 2025","18,559.38"
"Aug 5, 2025",Bankrupt,HM_AUG_25_FTFCU_25Q2,Personal Loan,"Happy Money, Originated by First Technology Federal Credit Union",BA-0688979976,PE505B3611C9C,False,True,True,True,True,True,False,False,True,"484,828","534,801",711.6,"Jun 20, 2025",280.28,"Feb 18, 2025",726.03
"Aug 5, 2025",Bankrupt,HM_AUG_25_FTFCU_25Q2,Personal Loan,"Happy Money, Originated by First Technology Federal Credit Union",BA-0691732488,PF82DCB2DA62F,False,True,True,True,True,True,False,False,True,"484,869","534,843","5,214.19","May 22, 2025",662.95,"Aug 29, 2024","5,671.1"
"Aug 5, 2025",Bankrupt,HM_AUG_25_FTFCU_25Q2,Personal Loan,"Happy Money, Originated by First Technology Federal Credit Union",BA-0703528968,PEC9165ABAFF5,False,True,True,True,True,True,False,False,True,"485,049","535,023","36,526.67","Jun 5, 2025",903.99,"Jan 5, 2025","38,459.52"
"Aug 5, 2025",Bankrupt,HM_AUG_25_FTFCU_25Q2,Personal Loan,"Happy Money, Originated by First Technology Federal Credit Union",BA-0703725576,P61A432A9B7FC,False,True,True,True,True,True,False,False,True,"485,052","535,026","4,328.23","Apr 27, 2025",153,"Dec 12, 2024","4,567.37"
"Aug 5, 2025",Bankrupt,HM_AUG_25_FTFCU_25Q2,Personal Loan,"Happy Money, Originated by First Technology Federal Credit Union",BA-0703987720,P811F07E7D7B4,False,True,True,True,True,True,False,False,True,"485,056","535,030","20,001.35","Jun 16, 2025",819.1,"Jan 16, 2025","21,159.75"
"Aug 5, 2025",Bankrupt,HM_AUG_25_FTFCU_25Q2,Personal Loan,"Happy Money, Originated by First Technology Federal Credit Union",BA-0704512008,P57E105215F84,False,True,True,True,True,True,False,False,True,"485,063","535,038","26,587.37","May 20, 2025",824.32,"Dec 20, 2024","28,171.52"
"Aug 5, 2025",Bankrupt,HM_AUG_25_FTFCU_25Q2,Personal Loan,"Happy Money, Originated by First Technology Federal Credit Union",BA-0704774152,PB1C006CE2572,False,True,True,False,True,True,False,False,True,"485,067","535,042","13,517.85","May 29, 2025",734.36,"Oct 28, 2024","14,749.56"
"Aug 5, 2025",Bankrupt,HM_AUG_25_FTFCU_25Q2,Personal Loan,"Happy Money, Originated by First Technology Federal Credit Union",BA-0716111880,P104612F9FE7F,False,True,True,True,True,True,False,False,True,"485,238","535,215","13,792.16","May 28, 2025",497.08,"Jan 28, 2025","14,375.56"
"Aug 5, 2025",Bankrupt,HM_AUG_25_FTFCU_25Q2,Personal Loan,"Happy Money, Originated by First Technology Federal Credit Union",BA-0716308488,P09DDA8B7BFD4,False,True,True,True,True,True,False,False,True,"485,241","535,218","24,890.31","Apr 16, 2025",888.57,"Nov 18, 2024","26,120.62"
"Aug 5, 2025",Bankrupt,HM_AUG_25_FTFCU_25Q2,Personal Loan,"Happy Money, Originated by First Technology Federal Credit Union",BA-0718405640,P843DF5AA7ABC,False,True,True,True,True,True,False,False,True,"485,272","535,250","8,459.09","Apr 18, 2025",665.17,"Nov 19, 2024","9,008.87"
"Aug 5, 2025",Bankrupt,HM_AUG_25_FTFCU_25Q2,Personal Loan,"Happy Money, Originated by First Technology Federal Credit Union",BA-0719716360,P2498D4A89F1A,False,True,True,True,True,True,False,False,True,"485,293","535,270","12,384.31","Jun 17, 2025",542.64,"Jan 17, 2025","13,194.46"
"Aug 5, 2025",Bankrupt,HM_AUG_25_FTFCU_25Q2,Personal Loan,"Happy Money, Originated by First Technology Federal Credit Union",BA-0722599944,P25AE40471859,False,True,True,True,True,True,False,False,True,"485,337","535,314","10,457.7","Apr 14, 2025",907.79,"Nov 15, 2024","10,999.45"
"Aug 5, 2025",Bankrupt,HM_AUG_25_FTFCU_25Q2,Personal Loan,"Happy Money, Originated by First Technology Federal Credit Union",BA-0726466568,PAA144A1D05D1,False,True,True,True,True,True,False,False,True,"485,395","535,373","1,811.81","May 21, 2025",531.79,"Dec 21, 2024","1,857.01"
"Aug 5, 2025",Bankrupt,HM_AUG_25_FTFCU_25Q2,Personal Loan,"Happy Money, Originated by First Technology Federal Credit Union",BA-0731578376,P80D8BFE77994,False,True,True,False,True,True,False,False,True,"485,473","535,451","20,571.97","Apr 17, 2025",263,"Nov 21, 2024","23,026.7"
"Aug 5, 2025",Bankrupt,HM_AUG_25_GSCU_25Q2,Personal Loan,"Happy Money, Originated by GreenState Credit Union",BA-0635174920,P2FF2440015C0,False,True,True,True,True,True,False,False,True,"484,016","533,980","1,274.59","Apr 5, 2025",666.78,"Nov 15, 2024","1,362.76"
"Aug 5, 2025",Bankrupt,HM_AUG_25_HM_25Q2,Personal Loan,"Happy Money, Originated by Cross River Bank",BA-0639762440,PCE3A8920732F,False,True,True,True,True,True,False,False,True,"484,085","534,050","3,212.94","Jun 13, 2025",206.88,"Jan 13, 2025","3,515.34"
"Aug 5, 2025",Bankrupt,HM_AUG_25_HM_25Q2,Personal Loan,"Happy Money, Originated by Cross River Bank",BA-0642514952,PFD0D430CED17,False,True,True,True,True,True,False,False,True,"484,127","534,092","10,912.16","Jun 8, 2025",112,"Jan 8, 2025","12,409.66"
"Aug 5, 2025",Bankrupt,HM_AUG_25_HM_25Q2,Personal Loan,"Happy Money, Originated by Cross River Bank",BA-0656146440,P5EA44D05E6EA,False,True,True,True,True,True,False,False,True,"484,332","534,300","4,005.44","May 24, 2025",434.55,"Oct 24, 2024","4,426.86"
"Aug 5, 2025",Bankrupt,HM_AUG_25_HM_25Q2,Personal Loan,"Happy Money, Originated by Cross River Bank",BA-0666042376,PFABA975BB9DF,False,True,True,True,True,True,False,False,True,"484,482","534,451","1,392.75","Jun 27, 2025",361.27,"Jan 27, 2025","1,496.9"
"Aug 5, 2025",Bankrupt,HM_AUG_25_HM_25Q2,Personal Loan,"Happy Money, Originated by Cross River Bank",BA-0667615240,PD7C14684BCE6,False,True,True,True,True,True,False,False,True,"484,505","534,475","7,053.94","Jun 12, 2025",136.08,"May 2, 2025","7,840.21"
"Aug 5, 2025",Bankrupt,HM_AUG_25_HM_25Q2,Personal Loan,"Happy Money, Originated by Cross River Bank",BA-0692191240,P1E5768B32871,False,True,True,True,True,True,False,False,True,"484,876","534,850","2,067.39","May 10, 2025",187.27,"Nov 12, 2024","2,278.85"
"Aug 5, 2025",Bankrupt,HM_AUG_25_HM_25Q2,Personal Loan,"Happy Money, Originated by Cross River Bank",BA-0697761800,P57B6FBE54964,False,True,True,True,True,True,False,False,True,"484,961","534,935","1,402.75","Jun 25, 2025",183.81,"Jan 25, 2025","1,515.05"
"Aug 5, 2025",Bankrupt,HM_AUG_25_HM_25Q2,Personal Loan,"Happy Money, Originated by Cross River Bank",BA-0699138056,PC792DC2BFA52,False,True,True,True,True,True,False,False,True,"484,982","534,956","1,144.09","Jun 26, 2025",370.41,"Nov 26, 2024","1,277.22"
