LP_LOAN_ID,LOANID,SETTINGS_ID,PLACEMENT_STATUS,PLACEMENT_STATUS_STARTDATE,PLACEMENT_STATUS_ENDDATE
99480,PAF49665171D3,99480,Resurgent,2025-07-31,
74644,PAF538CD713EE,74644,Resurgent,2025-07-31,
98949,PAF57BC91B48A,98949,Resurgent,2025-07-31,
100668,PAF6E14EC8895,100668,Resurgent,2025-07-31,
98345,PAF7438FFF7A4,98345,Resurgent,2025-07-31,
96708,PAF7B8A49019F,96708,Resurgent,2025-07-31,
96497,PB023853A4CA9,96497,Resurgent,2025-07-31,
98938,PB06648769BB9,98938,Resurgent,2025-07-31,
71318,PB06C81234B49,71318,Resurgent,2025-07-31,
99667,PB0AA8049BB40,99667,Resurgent,2025-07-31,
98349,PB100A2E6C00A,98349,Resurgent,2025-07-31,
68397,PB1024064811A,68397,Resurgent,2025-07-31,
99198,PB132417460B4,99198,Resurgent,2025-07-31,
71878,PB199C6BB30E8,71878,Resurgent,2025-07-31,
100515,PB1EAE0416A07,100515,Resurgent,2025-07-31,
67677,PB250C5B7B12E,67677,Resurgent,2025-07-31,
99932,PB253F4567C6D,99932,Resurgent,2025-07-31,
96852,PB257A6494A2C,96852,Resurgent,2025-07-31,
98819,PB27845173745,98819,Resurgent,2025-07-31,
67530,PB289A9C61651,67530,Resurgent,2025-07-31,
74596,PB2A55313BB51,74596,Resurgent,2025-07-31,
98730,PB2AC377AE761,98730,Resurgent,2025-07-31,
100855,PB2CDF0B97878,100855,Resurgent,2025-07-31,
98424,PB2D2737AADA5,98424,Resurgent,2025-07-31,
98185,PB2F407E1D140,98185,Resurgent,2025-07-31,
98685,PB3283B4EE8BC,98685,Resurgent,2025-07-31,
98536,PB3946FAC3400,98536,Resurgent,2025-07-31,
99225,PB3A639A3CB48,99225,Resurgent,2025-07-31,
98263,PB3C41CFEA8E8,98263,Resurgent,2025-07-31,
66949,PB4008F03F416,66949,Resurgent,2025-07-31,
98673,PB449BA940F3D,98673,Resurgent,2025-07-31,
97821,PB480CB652228,97821,Resurgent,2025-07-31,
98954,PB485D70D31E7,98954,Resurgent,2025-07-31,
100291,PB4B8EF6E89CB,100291,Resurgent,2025-07-31,
99391,PB4DCF2CE5ED8,99391,Resurgent,2025-07-31,
98783,PB516D6136F52,98783,Resurgent,2025-07-31,
99889,PB5239F2DC7C6,99889,Resurgent,2025-07-31,
