LOAN_ID,LEGACY_LOAN_ID,LEAD_GUID,PLACEMENT_STATUS,CHARGEOFF_DATE,CHARGEOFF_PRINCIPAL_AMOUNT,SETTLEMENT_STATUS,SETTLEMENT_ACCEPTED_DATE,SETTLEMENT_COMPLETION_DATE,SETTLEMENT_AMOUNT,SETTLEMENT_AMOUNT_PAID
113368,P7fe0f6462248,0e7e05d1-ce19-0d7e-0be8-7fe0f6462248,Bounce,2023-09-09,2168.80,Active,,,,
103664,P6e22a2e952de,201f7bd6-9aef-31ac-49e1-6e22a2e952de,Bounce,2023-09-05,291.59,Complete,,,,
121175,P6a34d33fc4d2,8530e119-7b18-f548-fe88-6a34d33fc4d2,Bounce,2023-09-05,4245.86,Active,,,,
109218,P77a9beaa6caf,ac376e48-54fb-8e15-17cd-77a9beaa6caf,Bounce,2023-09-05,11923.80,Active,,,,
115176,P4b842f471c39,072df575-4681-3e82-1db9-4b842f471c39,Bounce,2023-09-03,5007.83,Active,,,,
121988,P25a7c3f5f533,00af05ce-a0e3-bc69-9098-25a7c3f5f533,Bounce,2023-08-31,5528.50,Active,,,,
123408,Pf7186ca92ee7,b8d31e4c-02af-4647-9024-f7186ca92ee7,Bounce,2023-08-29,30684.55,Active,,,,
122976,Pb80483283fe4,3c694787-7157-edeb-9d79-b80483283fe4,Bounce,2023-08-29,18750.71,Active,,,,
120635,P24f099c944d8,587652ca-076d-88da-ca25-24f099c944d8,Bounce,2023-08-26,2967.40,Active,,,,
118986,Pb90411739c68,ea42c16f-4832-6c20-00d6-b90411739c68,Bounce,2023-08-23,26284.58,Complete,,,,
120726,P315bfe7bf99e,22d31979-7c37-6547-9320-315bfe7bf99e,Bounce,2023-08-23,26388.41,Complete,,,,
110655,P700cf9ad3713,6b9b7cbf-c3b0-51f1-ffd4-700cf9ad3713,Bounce,2023-08-21,17594.65,Complete,,,,
106545,Pa48f5754d346,ee00c5d3-68d9-4437-4106-a48f5754d346,Bounce,2023-08-21,26743.24,Active,,,,
113151,Padd37f631ea7,6ca621b4-9d9b-c4a8-5c53-add37f631ea7,Bounce,2023-08-21,8026.35,Active,,,,
105378,P2d0170b0d858,521ed37e-7adf-729d-ff47-2d0170b0d858,Bounce,2023-08-20,1626.87,Active,,,,
113324,P9daf8b69df9a,dddb52e2-e2c5-0ffd-2512-9daf8b69df9a,Bounce,2023-08-19,4760.65,Active,,,,
104996,Pe1896cd9ba61,fa1871ce-7f6e-84b7-7f22-e1896cd9ba61,Bounce,2023-08-19,3265.18,Complete,,,,
114129,Pf0dda7f3db7f,f28bcc8c-b638-354f-f670-f0dda7f3db7f,Bounce,2023-08-13,17916.99,Active,,,,
